Word,Count,Premier
TeamOntario,19,Doug Ford
Ford,7,Doug Ford
PublicHealth,7,Doug Ford
COVID19,4,Doug Ford
OntarioSpirit,4,Doug Ford
Learn,4,Doug Ford
MPP,3,Doug Ford
LTC,3,Doug Ford
ScotiabankArena,3,Doug Ford
The Scarborough Subway Extension,2,Doug Ford
Scotiabank Arena Sign,2,Doug Ford
GOtransit,2,Doug Ford
Metrolinx,2,Doug Ford
TeamCanada,2,Doug Ford
Reopen,2,Doug Ford
Islamophobia,2,Doug Ford
GTA,2,Doug Ford
Ontarios TransitPlan,2,Doug Ford
PSWDay2021 PSW httpstcoDMuDrv0jww Congratulations,1,Doug Ford
the Combatting Human Trafficking Act 2021,1,Doug Ford
