Word,Count,Premier
Newfoundland,28,Andrew Furey
COVID19,18,Andrew Furey
Please,9,Andrew Furey
Buddy Wasisname,3,Andrew Furey
NL,3,Andrew Furey
GovNL,2,Andrew Furey
Team Canada,2,Andrew Furey
CornerBrook,2,Andrew Furey
Rose Blanche,2,Andrew Furey
Labrador Congratulations,2,Andrew Furey
the Physical Activity Tax Credit,1,Andrew Furey
Labrador Today Finance,1,Andrew Furey
Pope Productions,1,Andrew Furey
Council,1,Andrew Furey
TheYetiman4,1,Andrew Furey
QMJHL,1,Andrew Furey
httpstcowO8bFbQ4nz Congratulations AlexNewhook,1,Andrew Furey
Central Health,1,Andrew Furey
Congratulations Congratulations,1,Andrew Furey
Mackenzie Health,1,Andrew Furey
