Word,Count,Premier
BC,71,John Horgan
British Columbians,22,John Horgan
BCs,9,John Horgan
First Nations,7,John Horgan
Lower Post,4,John Horgan
National Indian Residential School Crisis Line,3,John Horgan
Lytton,3,John Horgan
BC Parks,2,John Horgan
The Daylu Dena Council,2,John Horgan
BC Liberals,2,John Horgan
the Tkemlps te Secwpemc,2,John Horgan
Register,2,John Horgan
BCGovFireInfo,2,John Horgan
httpstcobEuW2Tv0vc Responsibly,1,John Horgan
httpstcoFHs1sjtdAn British Columbians,1,John Horgan
BC Ancient,1,John Horgan
Huuayaht First Nations,1,John Horgan
solidarity,1,John Horgan
the BC Liberals,1,John Horgan
DonnieandDhali,1,John Horgan
